concept:name,case:concept:name,time:timestamp
a71,1,2024-09-19 11:21:38.023960+00:00
a73,1,2024-09-19 11:24:57.575333+00:00
a72,1,2024-09-19 11:25:02.241041+00:00
a2,1,2024-09-19 11:25:08.841102+00:00
a20,1,2024-09-19 11:25:08.846102+00:00
a20,1,2024-09-19 11:25:08.851102+00:00
a37,1,2024-09-19 11:25:14.385712+00:00
a85,1,2024-09-19 11:49:38.385373+00:00
a85,1,2024-09-19 11:49:42.984249+00:00
a8,1,2024-09-19 11:49:44.332634+00:00
a51,1,2024-09-19 11:49:44.475656+00:00
a37,1,2024-09-19 11:49:44.480656+00:00
a85,1,2024-09-19 11:49:54.759256+00:00
a85,1,2024-09-19 11:49:59.758706+00:00
a8,1,2024-09-19 11:50:04.756550+00:00
a51,1,2024-09-19 11:50:05.057639+00:00
a29,1,2024-09-28 10:07:08.368662+00:00
a1,1,2024-09-28 10:07:08.373662+00:00
a6,1,2024-09-28 10:07:09.782695+00:00
a20,1,2024-09-28 10:07:09.792695+00:00
a37,1,2024-09-28 10:07:15.327305+00:00
a85,1,2024-09-28 10:31:39.326966+00:00
a20,1,2024-09-28 10:31:39.331966+00:00
a54,1,2024-09-28 10:31:39.336966+00:00
a53,1,2024-09-28 10:32:10.934881+00:00
a71,1,2024-09-28 10:34:11.362354+00:00
a73,1,2024-09-28 10:34:20.505191+00:00
a72,1,2024-09-28 10:34:24.939915+00:00
a2,1,2024-09-28 10:34:33.472764+00:00
a1,1,2024-09-28 10:34:35.646760+00:00
a6,1,2024-09-28 10:34:38.982191+00:00
a37,1,2024-09-28 10:34:38.987191+00:00
a85,1,2024-09-28 10:34:49.265791+00:00
a85,1,2024-09-28 10:34:54.265241+00:00
a8,1,2024-09-28 10:34:59.263085+00:00
a51,1,2024-09-28 10:34:59.564174+00:00
a29,1,2024-10-07 08:52:02.875197+00:00
a85,1,2024-10-07 08:52:02.880197+00:00
a8,1,2024-10-07 08:52:04.228582+00:00
a51,1,2024-10-07 08:52:04.371604+00:00
a54,1,2024-10-07 08:52:04.381604+00:00
a53,1,2024-10-07 08:52:35.979519+00:00
a71,1,2024-10-07 08:54:36.406992+00:00
a20,1,2024-10-07 08:54:36.411992+00:00
a37,1,2024-10-07 08:54:46.748610+00:00
a85,1,2024-10-07 08:54:51.210150+00:00
a85,1,2024-10-07 08:54:54.332503+00:00
a8,1,2024-10-07 08:54:55.667374+00:00
a20,1,2024-10-07 08:54:55.672374+00:00
a37,1,2024-10-07 08:55:05.255884+00:00
a85,1,2024-10-07 08:55:10.370596+00:00
a85,1,2024-10-07 08:55:22.512245+00:00
a8,1,2024-10-07 08:55:34.738638+00:00
a51,1,2024-10-07 08:55:35.105539+00:00
a29,1,2024-10-08 00:28:11.044367+00:00
a51,1,2024-10-08 00:28:11.049367+00:00
a73,1,2024-10-08 00:28:11.054367+00:00
a72,1,2024-10-08 00:28:15.489091+00:00
a2,1,2024-10-08 00:28:24.021940+00:00
a1,1,2024-10-08 00:28:26.195936+00:00
a6,1,2024-10-08 00:28:29.531367+00:00
a20,1,2024-10-08 00:28:29.541367+00:00
a37,1,2024-10-08 00:28:39.124877+00:00
a54,1,2024-10-08 00:28:39.129877+00:00
a53,1,2024-10-08 00:29:06.647383+00:00
a20,1,2024-10-08 00:29:06.652383+00:00
a37,1,2024-10-08 00:29:12.186993+00:00
a85,1,2024-10-08 00:53:36.186654+00:00
a85,1,2024-10-08 00:53:40.785530+00:00
a8,1,2024-10-08 00:53:42.133915+00:00
a51,1,2024-10-08 00:53:42.276937+00:00
a71,1,2024-10-08 00:53:42.281937+00:00
a73,1,2024-10-08 00:57:01.833310+00:00
a72,1,2024-10-08 00:57:06.499018+00:00
a2,1,2024-10-08 00:57:13.099079+00:00
a1,1,2024-10-08 00:57:15.109978+00:00
a6,1,2024-10-08 00:57:16.519011+00:00
a85,1,2024-10-08 00:57:16.524011+00:00
a85,1,2024-10-08 00:57:28.665660+00:00
a8,1,2024-10-08 00:57:40.892053+00:00
a51,1,2024-10-08 00:57:41.258954+00:00
a29,1,2024-10-08 16:30:17.197782+00:00
a20,1,2024-10-08 16:30:17.207782+00:00
a37,1,2024-10-08 16:30:22.742392+00:00
a85,1,2024-10-08 16:54:46.742053+00:00
a20,1,2024-10-08 16:54:46.747053+00:00
a37,1,2024-10-08 16:54:50.983757+00:00
a85,1,2024-10-08 16:55:01.262357+00:00
a54,1,2024-10-08 16:55:01.267357+00:00
a53,1,2024-10-08 16:55:28.784863+00:00
a71,1,2024-10-08 16:55:30.758248+00:00
a73,1,2024-10-08 16:58:50.309621+00:00
a72,1,2024-10-08 16:58:54.975329+00:00
a2,1,2024-10-08 16:59:01.575390+00:00
a1,1,2024-10-08 16:59:03.586289+00:00
a6,1,2024-10-08 16:59:04.995322+00:00
a85,1,2024-10-08 16:59:05.000322+00:00
a8,1,2024-10-08 16:59:09.998166+00:00
a51,1,2024-10-08 16:59:10.299255+00:00
a29,1,2024-10-17 15:16:13.610278+00:00
a85,1,2024-10-17 15:16:13.615278+00:00
a8,1,2024-10-17 15:16:14.963663+00:00
a51,1,2024-10-17 15:16:15.106685+00:00
a20,1,2024-10-17 15:16:15.116685+00:00
a37,1,2024-10-17 15:16:19.353389+00:00
a85,1,2024-10-17 15:16:29.631989+00:00
a54,1,2024-10-17 15:16:29.636989+00:00
a53,1,2024-10-17 15:17:01.234904+00:00
a20,1,2024-10-17 15:17:01.239904+00:00
